datum,domacin,gost,rezultat,brOsSetDomacin,brOsSetGost,osBodDomacin,osBodGost,proRazBodUSet,pobjednik,pobjednikDomacinIliGost,omjProPobj,proPobjDomacinNadGost,brDaOdZadDomacin,brDaOdZadGost,omjSvukOsSet,omjSvukOsSetDomacinProtGost,omjSvukIzgSet,omjSvukIzgSetDomacinProtGost,omjSvukOsBod,omjSvukOsBodDomacinProtGost,omjSvukIzgBod,omjSvukIzgBodDomacinProtGost
2019-10-12,OK ZADAR,OK KITRO VARAŽDIN, 3-1,3,1,88,88,0.0,OK ZADAR,0,0.3333333333333333,0.0,103,103,0.6923076923076923,0.3333333333333333,1.2666666666666666,3.0,0.8927272727272727,0.7954545454545454,0.8927272727272727,1.2571428571428571
2019-10-12,OK ROVINJ,MOK RIJEKA, 0-3,0,3,53,75,-7.333333333333333,MOK RIJEKA,1,0.2727272727272727,0.0,103,103,0.5555555555555556,0.3333333333333333,1.8,3.0,0.896551724137931,0.6907216494845361,0.896551724137931,1.4477611940298507
2019-10-12,OK MEDICINAR TRNJE,OKM CENTROMETAL, 3-0,3,0,80,66,4.666666666666667,OK MEDICINAR TRNJE,0,1.0,0.5,103,103,1.0,1.0,1.0,1.0,0.9193037974683544,1.0666666666666667,0.9193037974683544,0.9375
2019-10-12,MOK MARSONIA,OK SISAK, 1-3,1,3,83,96,-3.25,OK SISAK,1,0.25,0.0,103,103,0.7272727272727273,0.3333333333333333,1.1764705882352942,3.0,0.960960960960961,0.9690721649484536,0.960960960960961,1.0319148936170213
2019-10-12,OK SPLIT,MOK MURSA - OSIJEK, 2-3,2,3,86,102,-3.2,MOK MURSA - OSIJEK,1,0.8571428571428571,0.0,103,103,0.9285714285714286,0.3333333333333333,1.0714285714285714,3.0,0.924908424908425,0.7692307692307693,0.924908424908425,1.3
2019-10-19,OKM CENTROMETAL,OK SPLIT, 3-0,3,0,75,60,5.0,OKM CENTROMETAL,0,0.6666666666666666,1.0,7,7,0.7857142857142857,3.0,1.121212121212121,0.3333333333333333,1.2135036496350364,1.0769230769230769,1.2135036496350364,0.9285714285714286
2019-10-19,OK KITRO VARAŽDIN,MOK MURSA - OSIJEK, 1-3,1,3,77,96,-4.75,MOK MURSA - OSIJEK,1,0.75,0.0,7,7,0.8709677419354839,0.3333333333333333,1.1,3.0,0.9949748743718593,1.0224719101123596,0.9949748743718593,0.978021978021978
2019-10-19,MOK RIJEKA,OK MEDICINAR TRNJE, 3-1,3,1,96,76,5.0,MOK RIJEKA,0,2.4000000000000004,0.0,7,7,1.56,0.3333333333333333,0.5882352941176471,3.0,0.9943639291465378,0.6530612244897959,0.9943639291465378,1.53125
2019-10-19,OK ROVINJ,OK SISAK, 2-3,2,3,112,117,-1.0,OK SISAK,1,0.6000000000000001,0.0,7,7,0.8,0.3333333333333333,1.1142857142857143,3.0,0.7654061624649859,0.7127659574468085,0.7654061624649859,1.4029850746268657
2019-10-19,OK ZADAR,MOK MARSONIA, 2-3,2,3,111,111,0.0,MOK MARSONIA,1,3.0,0.0,7,7,1.2352941176470589,0.3333333333333333,0.9069767441860465,3.0,0.7850330154071901,0.8681318681318682,0.7850330154071901,1.1518987341772151
2019-10-26,OK ROVINJ,OK ZADAR, 3-2,3,2,110,94,3.2,OK ROVINJ,0,1.0,1.0,7,7,0.9565217391304348,3.0,1.0,0.3333333333333333,1.0203217612193056,1.1136363636363635,1.0203217612193056,0.8979591836734694
