datum,bodovi,link
"Vrijeme početka: subota, 19. veljače 2022. u 17,30","1. set: 25:17
     2. set: 25:20
     3. set: 21:25
     4. set: 25:15
     ukupno: 96:77",OKM CENTROMETAL – OK SISAK
"Vrijeme početka: nedjelja, 13. veljače 2022. u 16,00","1. set: 15:25
     2. set: 20:25
     3. set: 16:25
     ukupno: 51:75",MOK RIJEKA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 9. listopada 2021. u 14,00","1. set: 10:25
     2. set: 22:25
     3. set: 16:25
     ukupno: 48:75",OK GORICA – HAOK MLADOST
"Vrijeme početka: subota, 29. siječnja 2022. u 19,00","1. set: 25:22
     2. set: 25:16
     3. set: 18:25
     4. set: 17:25
     5. set: 8:15
     ukupno: 93:103",MOK MARSONIA – OKM CENTROMETAL
"Vrijeme početka: subota, 12. ožujka 2022. u 17,00","1. set: 25:22
     2. set: 25:15
     3. set: 25:22
     ukupno: 75:59",MOK RIJEKA – OK ROVINJ
"Vrijeme početka: subota, 6. studenog 2021. u 18,00","1. set: 25:15
     2. set: 25:23
     3. set: 25:15
     ukupno: 75:53",MOK MURSA - OSIJEK – OK GORICA
"Vrijeme početka: subota, 5. ožujka 2022. u 19,00","1. set: 19:25
     2. set: 25:18
     3. set: 20:25
     4. set: 19:25
     ukupno: 83:93",OK ROVINJ – OK SISAK
"Vrijeme početka: subota, 18. prosinca 2021. u 17,00","1. set: 25:23
     2. set: 25:27
     3. set: 20:25
     4. set: 16:25
     ukupno: 86:100",OK SISAK – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 12. veljače 2022. u 16,00","1. set: 15:25
     2. set: 19:25
     3. set: 23:25
     ukupno: 57:75",OK SPLIT – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 26. ožujka 2022. u 17,00","1. set: 15:25
     2. set: 25:19
     3. set: 22:25
     4. set: 17:25
     ukupno: 79:94",MOK RIJEKA – OK KITRO VARAŽDIN
"Vrijeme početka: nedjelja, 13. veljače 2022. u 16,00","1. set: 25:19
     2. set: 25:13
     3. set: 25:17
     ukupno: 75:49",OK KITRO VARAŽDIN  – OK ZADAR
