datum,bodovi,link
"Vrijeme početka: subota, 12. rujna 2020. u 18,00","1. set: 23:25
     2. set: 25:19
     3. set: 19:25
     4. set: 25:22
     5. set: 15:12
     ukupno: 107:103",HAOK MLADOST – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 5. rujna 2020. u 18,00","1. set: 25:20
     2. set: 23:25
     3. set: 16:25
     4. set: 18:25
     ukupno: 82:95",OK MLADOST RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: četvrtak, 19. prosinca 2019. u 18,00","1. set: 19:25
     2. set: 14:25
     3. set: 16:25
     ukupno: 49:75",MOK MARSONIA – MOK MURSA - OSIJEK
"Vrijeme početka: petak, 18. prosinca 2020. u 18,45","1. set: 25:21
     2. set: 27:25
     3. set: 26:24
     ukupno: 78:70",OK MEDICINAR TRNJE – OK ROVINJ
"Vrijeme početka: srijeda, 19. veljače 2020. u 20,00","1. set: 14:25
     2. set: 20:25
     3. set: 23:25
     ukupno: 57:75",OKM CENTROMETAL – MOK MURSA - OSIJEK
"Vrijeme početka: srijeda, 19. veljače 2020. u 20,00","1. set: 25:18
     2. set: 23:25
     3. set: 25:17
     4. set: 25:20
     ukupno: 98:80",OK SPLIT – MOK RIJEKA
"Vrijeme početka: četvrtak, 27. veljače 2020. u 16,30","1. set: 15:25
     2. set: 25:27
     3. set: 15:25
     ukupno: 55:77",OK MEDICINAR TRNJE – HAOK MLADOST
"Vrijeme početka: četvrtak, 27. veljače 2020. u 20,00","1. set: 20:25
     2. set: 12:25
     3. set: 7:25
     ukupno: 39:75",OK SISAK – OK MLADOST RIBOLA KAŠTELA
"Vrijeme početka: nedjelja, 15. prosinca 2019. u 17,00","1. set: 15:25
     2. set: 9:25
     3. set: 13:25
     ukupno: 37:75",OK KITRO VARAŽDIN  – OK SPLIT
"Vrijeme početka: utorak, 17. prosinca 2019. u 20,00","1. set: 18:25
     2. set: 19:25
     3. set: 16:25
     ukupno: 53:75",OK ZADAR – MOK RIJEKA
